Date : 2023-09-21 10:48:29
Directory : d:\codes\rust-learn\compress-learn
Total : 303 files,  64545 codes, 8462 comments, 11232 blanks, all 84239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |         14 |     60,651 |      1,117 |      9,990 |     71,758 |
| C++      |         13 |      3,288 |      7,342 |      1,197 |     11,827 |
| TOML     |          2 |        332 |          3 |         45 |        380 |
| JSON     |        271 |        271 |          0 |          0 |        271 |
| C        |          3 |          3 |          0 |          0 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        303 |     64,545 |      8,462 |     11,232 |     84,239 |
| . (Files)                                                                                                                            |          2 |        332 |          3 |         45 |        380 |
| src                                                                                                                                  |          1 |         85 |          4 |          8 |         97 |
| target                                                                                                                               |        300 |     64,128 |      8,455 |     11,179 |     83,762 |
| target (Files)                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug                                                                                                                         |        299 |     64,127 |      8,455 |     11,179 |     83,761 |
| target\debug\.fingerprint                                                                                                            |        270 |        270 |          0 |          0 |        270 |
| target\debug\.fingerprint\adler-1116f4304d1673ea                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\adler-2bd6b9c5b5597e0c                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\adler-31b2a8f64c24c8a5                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\adler-4392a60b2eaa5a3c                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\adler-b9673bf97e6710f4                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\aes-250a648f72599bc1                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\aes-34d1b79770543476                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\aes-7b36dc153292bf52                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\aes-7d4d6c9476fb1149                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\aes-ec590e8e17657251                                                                                       |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-0189f3ff06e8d763                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-4320133a90ff38e5                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-596db41235b8c5d1                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-6f827b6035e11b23                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-7333a6bac476fa88                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-939d2b8b60bafb19                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-97fd9a7240f8f3af                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-c59b63cf59f775de                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-cbbbbda0d171131e                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-db7cb151a961f4ee                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\anyhow-dc046caa71dedf0a                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\base64ct-3867c4f70636e088                                                                                  |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\base64ct-3fe013e890c13271                                                                                  |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\base64ct-87a3340464da9c9f                                                                                  |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\base64ct-c494ecc2a26ec10b                                                                                  |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\base64ct-e36c57da74b913ae                                                                                  |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\block-buffer-150b2290fefeceb0                                                                              |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\block-buffer-3a4c5c4d99ee9bd5                                                                              |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\block-buffer-5d758a007a003919                                                                              |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\block-buffer-7ee7b3889b3e61a9                                                                              |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\block-buffer-9eea195948826b5b                                                                              |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\byteorder-449b9ad9258f089d                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\byteorder-59924e8a902cddd1                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\byteorder-82d9b517d0f9dd73                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\byteorder-ad44d5d33fa2c7d9                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\byteorder-e4dc6d9e77c3b8df                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-067cef60eab88108                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-18c42662ceadac4c                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-1d8440fbcabec82b                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-a2ddd8baed6795b4                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-b4967326e2c83b22                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-f308212868ea5dbd                                                                                     |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-02cbeb6968d8f47e                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-08f4fa1ba488b40e                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-10d8c4b974ca7acf                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-32a563dda0984b89                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-3837d2d5a045978e                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-3a93d626f392beec                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-4ea4820010493d30                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-504aaf21db031848                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-8440667de907fad3                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-89b497e9ea941f6d                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-a6542b9349401969                                                                                 |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\bzip2-sys-c3921dec001abb79                                                                                 |          1 |          1 |          0 |          0 |          1 |
